"train_no","train_name","src_stn_code","dest_stn_code","MON","TUE","WED","THU","FRI","SAT","SUN"
"10103","MANDOVIEXPRESS","CSMT","MAO",1,1,1,1,1,1,1
"10104","MANDOVIEXPRESS","MAO","CSMT",1,1,1,1,1,1,1
"10111","KONKANKANYAEX","CSMT","MAO",1,1,1,1,1,1,1
"10112","KONKANKANYAEXP","MAO","CSMT",1,1,1,1,1,1,1
"10215","MAOERS","MAO","ERS",1,1,1,1,1,1,1
"10216","ERSMAOSPL","ERS","MAO",1,1,1,1,1,1,1
"11001","SNSIPVREXP","SNSI","PVR",0,1,0,1,0,0,1
"11002","PVRSNSIEXP","PVR","SNSI",0,1,0,1,0,0,1
"11003","DRSWVTUTARIEXPRESS","DR","SWV",1,1,1,1,1,1,1
"11004","SWVDRTUTARIEXP","SWV","DR",1,1,1,1,1,1,1
"11005","DRPDYEXPRESS","DR","PDY",1,0,0,0,1,0,1
"11006","CHALUKYAEXP","PDY","DR",0,1,1,0,0,0,1
"11007","DECCANEXPRESS","CSMT","PUNE",1,1,1,1,1,1,1
"11008","DECCANEXPRESS","PUNE","CSMT",1,1,1,1,1,1,1
"11009","SINHAGADEXP","CSMT","PUNE",1,1,1,1,1,1,1
"11010","SINHAGADEXP","PUNE","CSMT",1,1,1,1,1,1,1
"11011","LTTNEDEXPRESS","LTT","NED",1,1,1,1,1,1,1
"11012","NEDLTTEXP","NED","LTT",1,1,1,1,1,1,1
"11013","COIMBATOREEXP","LTT","CBE",1,1,1,1,1,1,1
"11014","LOKMANYATTEXP","CBE","LTT",1,1,1,1,1,1,1
"11015","KUSHINAGAREXP","LTT","GKP",1,1,1,1,1,1,1
"11016","KUSHINAGAREXP","GKP","LTT",1,1,1,1,1,1,1
"11017","LTTKIKWEEKLYEXPRESS","LTT","KIK",1,1,1,1,1,1,1
"11018","KARAIKALLTTEXP","KIK","LTT",1,1,1,1,1,1,1
"11019","KONARKEXPRESS","CSMT","BBS",1,1,1,1,1,1,1
"11020","KONARKEXPRESS","BBS","CSMT",1,1,1,1,1,1,1
"11021","DRTENEXPRESS","DR","TEN",0,1,1,0,0,1,0
"11022","TENDREXP","TEN","DR",1,0,0,1,1,0,0
"11023","SAHYADRIEXPRES","CSMT","KOP",1,1,1,1,1,1,1
"11024","SAHYADRIEXP","KOP","CSMT",1,1,1,1,1,1,1
"11025","BSLPUNEEXPRESS","BSL","PUNE",1,1,1,1,1,1,1
"11026","PUNEBSLEXPRESS","PUNE","BSL",1,1,1,1,1,1,1
"11027","CSMTMASMAIL","CSMT","MAS",1,1,1,1,1,1,1
"11028","MASCSMTMUMBAIMAIL","MAS","CSMT",1,1,1,1,1,1,1
"11029","KOYNAEXPRESS","CSMT","KOP",1,1,1,1,1,1,1
"11030","KOYNAEXPRESS","KOP","CSMT",1,1,1,1,1,1,1
"11031","SURBJPEPXRESS","SUR","BJP",0,0,0,0,0,1,1
"11032","BJPSUREXPRESS","BJP","SUR",0,0,0,0,0,1,1
